Beam,RA,Dec
0,-0.5249706144317328,0.5249706144317329
1,0.5249706144317328,0.5249706144317329
2,-0.5249706144317329,-0.5249706144317328
3,0.5249706144317329,-0.5249706144317328
4,-1.5749118432951985,1.5749118432951987
5,-0.5249706144317328,1.5749118432951983
6,0.5249706144317328,1.5749118432951983
7,1.5749118432951985,1.5749118432951987
8,1.5749118432951983,0.5249706144317328
9,1.5749118432951985,-0.5249706144317327
10,1.5749118432951987,-1.5749118432951985
11,0.5249706144317329,-1.5749118432951983
12,-0.5249706144317329,-1.5749118432951983
13,-1.5749118432951987,-1.5749118432951985
14,-1.5749118432951985,-0.5249706144317327
15,-1.5749118432951983,0.5249706144317328
16,-2.624853072158664,2.6248530721586643
17,-1.5749118432951985,2.624853072158664
18,-0.5249706144317328,2.624853072158664
19,0.5249706144317328,2.624853072158664
20,1.5749118432951985,2.624853072158664
21,2.624853072158664,2.6248530721586643
22,2.624853072158664,1.574911843295198
23,2.624853072158664,0.5249706144317327
24,2.624853072158664,-0.524970614431733
25,2.6248530721586643,-1.5749118432951978
26,2.6248530721586643,-2.624853072158664
27,1.5749118432951985,-2.624853072158664
28,0.5249706144317323,-2.624853072158664
29,-0.5249706144317323,-2.624853072158664
30,-1.5749118432951985,-2.624853072158664
31,-2.6248530721586643,-2.624853072158664
32,-2.6248530721586643,-1.5749118432951978
33,-2.624853072158664,-0.524970614431733
34,-2.624853072158664,0.5249706144317327
35,-2.624853072158664,1.574911843295198
